Protein_A,Protein_B,label
Q05519,Q9H361,0
Q07955,Q15397,1
Q08170,Q13243,1
Q53GL7,Q92879,0
Q08170,Q9H9Z2,0
P79522,Q7Z2W4,1
Q15397,Q9BYG3,1
P26651,Q7Z2T5,0
Q9UPT8,Q9Y4F3,0
Q5SZQ8,Q9Y2T7,0
P98179,Q13243,0
A6NDE4,O15042,0
Q05519,Q13242,1
P52597,Q15365,0
Q7Z2W4,Q9H9Z2,1
P09651,Q9BRL6,0
Q05519,Q8WXF0,1
Q05519,Q13242,1
P79522,Q8N5P1,1
O95104,Q8IWZ8,0
P47974,Q16587,0
P48200,P55795,0
P48200,Q86V81,1
Q92879,Q9GZT3,0
Q14151,Q96QC0,0
O15504,P63162,0
P84103,Q15397,1
Q05519,Q08170,1
P84103,Q9GZT3,0
O15541,P55795,0
Q9H9Z2,Q9NXG2,1
P84103,Q15397,1
P60484,Q9Y2T7,0
P26368,Q14493,0
P60484,Q9BZC1,0
Q15397,Q7Z2W4,1
Q01130,Q8IWZ8,0
Q9H0L4,Q9NWB1,0
Q15397,Q9H9Z2,1
P0DJD3,Q8WXF0,0
Q08170,Q8WXF0,1
O75152,P26651,0
P79522,Q8N5P1,1
Q05519,Q8WXF0,1
Q08170,Q13243,1
Q15397,Q9H9Z2,1
P09012,Q9Y2T7,0
Q969L4,Q9H0J9,0
P10155,Q12872,0
P52597,P60484,0
P84103,Q15397,1
P84103,Q9BZC1,0
Q8N5P1,Q9NXG2,1
Q8N5P1,Q9H9Z2,1
Q13243,Q15397,1
O60812,O75152,1
Q07955,Q7Z2W4,1
Q15397,Q7Z2W4,1
Q08170,Q8WXF0,1
Q14493,Q16629,0
Q08170,Q9Y2T7,1
Q8N5P1,Q9NXG2,1
Q13243,Q9H9Z2,1
Q15365,Q8N5P1,0
Q07955,Q9BYG3,1
Q13243,Q7Z2W4,1
Q05519,Q8WXF0,1
Q7Z2W4,Q9H9Z2,1
Q15397,Q9BWF3,1
Q08170,Q13243,1
P08621,P63162,1
P84103,Q08170,1
Q13243,Q9H9Z2,1
Q07955,Q9BYG3,1
Q08170,Q8WXF0,1
Q7Z2W4,Q9H9Z2,1
Q08170,Q8WXF0,1
P79522,Q8N5P1,1
Q07955,Q9BYG3,1
Q13243,Q7Z2W4,1
Q86U42,Q92879,0
Q05519,Q13242,1
Q53GL7,Q5SZQ8,0
Q15397,Q7Z2W4,1
Q16600,Q9H361,0
Q53GL7,Q6ZN04,0
Q8N2M8,Q9BWF3,0
P08621,Q8WXF0,1
Q15415,Q86U06,0
P08621,Q8WXF0,1
P84103,Q08170,1
O14979,Q96QC0,0
P26368,Q96K80,0
P55795,P63162,0
Q13243,Q15397,1
P10155,P84103,1
P47974,Q8WXA9,0
Q8WXA9,Q96J87,0
Q8N5P1,Q9H9Z2,1
Q05519,Q13242,1
P10155,P84103,1
Q8WXA9,Q9H9Z2,0
Q8N2M8,Q8N5P1,0
Q13243,Q15397,1
Q05519,Q08170,1
O95319,P0DJD3,0
Q7Z2W4,Q9BYG3,1
Q99973,Q9BRL6,0
P52597,Q9UPS6,0
Q8N5P1,Q9NXG2,1
Q969L4,Q9BWF3,0
Q15397,Q96K80,1
Q05519,Q9NQZ3,0
P0DJD3,Q92945,0
O75494,P84103,0
P08621,Q8N6W0,0
Q08170,Q9Y2T7,1
Q07955,Q7Z2T5,0
Q6ZN04,Q9BRL6,0
P48200,Q9H9Z2,1
Q05519,Q9H0J9,0
Q15365,Q8WXF0,0
Q13117,Q9Y4F3,0
Q7Z2W4,Q9BYG3,1
P55795,P98179,0
P08621,P63162,1
P57052,P60484,0
Q969L4,Q9UPN6,0
P48200,Q9H9Z2,1
Q13243,Q96K80,1
O60812,Q8WXF0,0
Q07955,Q8WXA9,0
O75494,Q53GL7,0
P09012,Q86U06,0
O95104,Q14151,0
Q13243,Q96K80,1
P09012,Q13243,0
Q9NR90,Q9UPT8,0
Q15397,Q7Z2W4,1
P26368,Q9BX46,0
Q08170,Q13243,1
Q92879,Q9NQS3,0
Q8N5P1,Q9H9Z2,1
Q07955,Q7Z2W4,1
Q15397,Q7Z2W4,1
Q8N5P1,Q9Y2T7,1
P98179,Q14151,0
P79522,Q8N5P1,1
O60812,Q12872,0
P10155,P84103,1
Q16629,Q969L4,0
O95758,Q9H361,0
P08621,P63162,1
P08621,Q8WXF0,1
O75494,Q9UPS6,0
Q05519,Q08170,1
O75494,Q9Y2T7,0
O15504,O15541,0
Q9BYG3,Q9Y2T7,1
P55795,Q15397,0
Q86TM3,Q8NDT2,0
O75152,O95218,0
Q13243,Q9BYG3,1
Q7Z2W4,Q96K80,1
P26368,Q9NXG2,0
Q05519,Q8WXF0,1
O15047,Q9BZC1,0
P52597,Q16587,0
Q96QC0,Q9Y2T7,0
P48200,Q9H9Z2,1
Q13064,Q460N5,0
Q13243,Q96K80,1
Q15397,Q96K80,1
P84103,Q8WXF0,1
